time_iso8601,stars_cumulative
2022-11-11 00:00:00+00:00,5694
2022-11-12 00:00:00+00:00,5741
2022-11-13 00:00:00+00:00,5793
2022-11-14 00:00:00+00:00,5809
2022-11-15 00:00:00+00:00,5833
2022-11-16 00:00:00+00:00,5845
2022-11-17 00:00:00+00:00,5858
2022-11-18 00:00:00+00:00,5865
2022-11-19 00:00:00+00:00,5873
2022-11-20 00:00:00+00:00,5885
2022-11-21 00:00:00+00:00,5896
2022-11-22 00:00:00+00:00,5911
2022-11-23 00:00:00+00:00,5925
2022-11-24 00:00:00+00:00,5935
2022-11-25 00:00:00+00:00,5945
2022-11-26 00:00:00+00:00,5952
2022-11-27 00:00:00+00:00,5966
2022-11-28 00:00:00+00:00,5972
2022-11-29 00:00:00+00:00,5984
2022-11-30 00:00:00+00:00,5994
2022-12-01 00:00:00+00:00,6000
2022-12-02 00:00:00+00:00,6009
2022-12-03 00:00:00+00:00,6012
2022-12-04 00:00:00+00:00,6021
2022-12-05 00:00:00+00:00,6031
2022-12-06 00:00:00+00:00,6039
2022-12-07 00:00:00+00:00,6048
2022-12-08 00:00:00+00:00,6057
2022-12-09 00:00:00+00:00,6066
2022-12-10 00:00:00+00:00,6071
2022-12-11 00:00:00+00:00,6077
2022-12-12 00:00:00+00:00,6088
2022-12-13 00:00:00+00:00,6100
2022-12-14 00:00:00+00:00,6119
2022-12-15 00:00:00+00:00,6135
2022-12-16 00:00:00+00:00,6144
2022-12-17 00:00:00+00:00,6153
2022-12-18 00:00:00+00:00,6160
2022-12-19 00:00:00+00:00,6183
2022-12-20 00:00:00+00:00,6284
2022-12-21 00:00:00+00:00,6315
2022-12-22 00:00:00+00:00,6334
2022-12-23 00:00:00+00:00,6369
2022-12-24 00:00:00+00:00,6404
2022-12-25 00:00:00+00:00,6420
2022-12-26 00:00:00+00:00,6445
2022-12-27 00:00:00+00:00,6461
2022-12-28 00:00:00+00:00,6478
2022-12-29 00:00:00+00:00,6490
2022-12-30 00:00:00+00:00,6502
2022-12-31 00:00:00+00:00,6513
2023-01-01 00:00:00+00:00,6527
2023-01-02 00:00:00+00:00,6534
2023-01-03 00:00:00+00:00,6545
2023-01-04 00:00:00+00:00,6556
2023-01-05 00:00:00+00:00,6566
2023-01-06 00:00:00+00:00,6575
2023-01-07 00:00:00+00:00,6584
2023-01-08 00:00:00+00:00,6597
2023-01-09 00:00:00+00:00,6615
2023-01-10 00:00:00+00:00,6635
2023-01-11 00:00:00+00:00,6665
2023-01-12 00:00:00+00:00,6673
2023-01-13 00:00:00+00:00,6685
2023-01-14 00:00:00+00:00,6703
2023-01-15 00:00:00+00:00,6713
2023-01-16 00:00:00+00:00,6721
2023-01-17 00:00:00+00:00,6728
2023-01-18 00:00:00+00:00,6738
2023-01-19 00:00:00+00:00,6749
2023-01-20 00:00:00+00:00,6766
2023-01-21 00:00:00+00:00,6831
2023-01-22 00:00:00+00:00,6850
2023-01-23 00:00:00+00:00,6868
2023-01-24 00:00:00+00:00,6880
2023-01-25 00:00:00+00:00,6890
2023-01-26 00:00:00+00:00,6900
2023-01-27 00:00:00+00:00,6909
2023-01-28 00:00:00+00:00,6927
2023-01-29 00:00:00+00:00,6963
2023-01-30 00:00:00+00:00,7026
2023-01-31 00:00:00+00:00,7057
2023-02-01 00:00:00+00:00,7079
2023-02-02 00:00:00+00:00,7098
2023-02-03 00:00:00+00:00,7111
2023-02-04 00:00:00+00:00,7163
2023-02-05 00:00:00+00:00,7203
2023-02-06 00:00:00+00:00,7233
2023-02-07 00:00:00+00:00,7270
2023-02-08 00:00:00+00:00,7288
2023-02-09 00:00:00+00:00,7335
2023-02-10 00:00:00+00:00,7354
2023-02-11 00:00:00+00:00,7360
2023-02-12 00:00:00+00:00,7375
2023-02-13 00:00:00+00:00,7387
2023-02-14 00:00:00+00:00,7409
2023-02-15 00:00:00+00:00,7414
2023-02-16 00:00:00+00:00,7426
2023-02-17 00:00:00+00:00,7438
2023-02-18 00:00:00+00:00,7447
2023-02-19 00:00:00+00:00,7467
2023-02-20 00:00:00+00:00,7478
2023-02-21 00:00:00+00:00,7488
2023-02-22 00:00:00+00:00,7590
2023-02-23 00:00:00+00:00,7722
2023-02-24 00:00:00+00:00,7921
2023-02-25 00:00:00+00:00,8090
